Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
57222,53,54587,53,allow,177,94,83,2,30,1,1
56258,3389,56258,3389,allow,4768,1600,3168,19,17,10,9
6881,50321,43265,50321,allow,238,118,120,2,1199,1,1
50553,3389,50553,3389,allow,3327,1438,1889,15,17,8,7
50002,443,45848,443,allow,25358,6778,18580,31,16,13,18
51465,443,39975,443,allow,3961,1595,2366,21,16,12,9
60513,47094,45469,47094,allow,320,140,180,6,7,3,3
50049,443,21285,443,allow,7912,3269,4643,23,96,12,11
52244,58774,2211,58774,allow,70,70,0,1,5,1,0
50627,443,16215,443,allow,8256,1674,6582,31,75,15,16
43676,80,45378,80,allow,696,378,318,12,35,7,5
52190,443,16680,443,allow,7942,870,7072,22,15,10,12
50690,80,20479,80,allow,4805,3639,1166,16,31,9,7
55597,53,45448,53,allow,168,86,82,2,30,1,1
49164,443,45916,443,allow,7292,950,6342,19,75,9,10
36887,443,63451,443,allow,10922,2532,8390,27,28,13,14
1939,53,33288,53,allow,210,78,132,2,30,1,1
50281,53,33175,53,allow,195,102,93,2,30,1,1
57222,53,51448,53,allow,177,94,83,2,30,1,1
56710,53,57885,53,allow,177,94,83,2,30,1,1
48488,443,26104,443,allow,12993,3240,9753,36,24,18,18
50691,80,62082,80,allow,4237,3610,627,15,31,8,7
50693,80,54649,80,allow,4465,3390,1075,14,30,8,6
1940,53,23603,53,allow,210,78,132,2,30,1,1
50172,53,37056,53,allow,211,78,133,2,30,1,1
38802,53,38802,53,allow,216,90,126,2,30,1,1
50281,53,8038,53,allow,195,102,93,2,30,1,1
50051,443,1683,443,allow,7912,3269,4643,23,96,12,11
52192,443,41129,443,allow,13948,1150,12798,29,15,14,15
57886,443,10717,443,allow,33667,25477,8190,60,33,34,26
50289,80,7131,80,allow,7166,1086,6080,18,87,9,9
58615,443,30095,443,allow,6796,1541,5255,23,121,11,12
38551,53,14191,53,allow,168,78,90,2,30,1,1
64787,53,29856,53,allow,728,102,626,2,30,1,1
34529,443,30445,443,allow,62652,30891,31761,158,381,67,91
52184,443,13267,443,allow,13902,3253,10649,26,135,14,12
60377,443,34261,443,allow,8678,2974,5704,50,123,27,23
59347,80,59347,80,allow,108790,4633,104157,192,15,66,126
50077,443,40548,443,allow,7976,3333,4643,23,25,12,11
50149,80,2917,80,allow,11574,901,10673,20,46,11,9
50004,443,10108,443,allow,8745,2603,6142,19,15,11,8
60411,80,48309,80,allow,1589,941,648,11,121,6,5
60354,80,7611,80,allow,644,256,388,8,124,5,3
60399,80,36861,80,allow,1168,815,353,10,122,6,4
60348,80,15161,80,allow,10335,1617,8718,19,124,9,10
60420,80,1065,80,allow,14498,6454,8044,24,120,12,12
60423,443,61729,443,allow,6849,1103,5746,23,120,12,11
60360,443,62556,443,allow,5212,1101,4111,22,123,12,10
60363,443,28558,443,allow,5214,1101,4113,22,123,12,10
9523,443,27776,443,allow,7199,1410,5789,22,33,11,11
63842,45682,31353,45682,allow,4687209,3850148,837061,4974,107,3004,1970
60430,443,49199,443,allow,5696,1143,4553,23,119,12,11
59878,443,30562,443,allow,3864,2812,1052,17,112,8,9
53179,12502,28254,12502,allow,70,70,0,2,7,2,0
60414,80,46472,80,allow,5124,3499,1625,14,121,8,6
60400,80,41884,80,allow,1704,808,896,10,122,6,4
60407,443,49458,443,allow,8328,1611,6717,25,121,14,11
60398,80,57820,80,allow,378,192,186,7,122,4,3
60339,80,1887,80,allow,35136,7862,27274,53,124,26,27
38641,443,31615,443,allow,318,192,126,6,14,4,2
54996,53,2476,53,allow,168,86,82,2,31,1,1
48066,443,56844,443,allow,62,62,0,1,4,1,0
60811,40010,33835,40010,allow,316,136,180,6,5,3,3
52103,80,61932,80,allow,68083,5515,62568,90,38,40,50
52195,443,11275,443,allow,13948,1150,12798,29,15,14,15
50000,53,16568,53,allow,502,115,387,4,52,2,2
52193,443,50924,443,allow,13948,1150,12798,29,15,14,15
55234,53,5157,53,allow,177,94,83,2,29,1,1
50692,80,30484,80,allow,5727,3584,2143,15,31,8,7
60370,80,40899,80,allow,1243,769,474,9,123,6,3
65401,53,57745,53,allow,235,102,133,2,29,1,1
51737,53,3505,53,allow,231,78,153,2,30,1,1
50685,80,6959,80,allow,63891,26626,37265,86,34,39,47
52191,443,46265,443,allow,7882,810,7072,21,15,9,12
54557,80,41721,80,allow,2091,799,1292,10,15,6,4
48818,443,11974,443,allow,4167,1669,2498,23,15,12,11
64223,53,57211,53,allow,199,94,105,2,30,1,1
49245,53,34102,53,allow,376,126,250,2,29,1,1
65258,443,17337,443,allow,6043,1568,4475,11,120,4,7
64399,53,50659,53,allow,230,110,120,2,29,1,1
55234,53,22160,53,allow,177,94,83,2,30,1,1
64593,53,56394,53,allow,94,94,0,1,30,1,0
56911,53,36658,53,allow,177,94,83,2,31,1,1
53977,22266,9645,22266,allow,492,306,186,8,17,5,3
50148,80,57004,80,allow,9058,868,8190,18,46,10,8
53178,42671,48767,42671,allow,70,70,0,2,8,2,0
52181,443,64436,443,allow,7855,815,7040,21,15,9,12
65004,53,23515,53,allow,323,94,229,2,30,1,1
46265,443,19534,443,allow,173828,9311,164517,245,448,118,127
49158,443,27828,443,allow,14490,4227,10263,35,36,19,16
33067,53,47200,53,allow,168,78,90,2,30,1,1
56911,53,39355,53,allow,177,94,83,2,30,1,1
22767,53,22767,53,allow,226,106,120,2,30,1,1
52715,443,38027,443,allow,164840,5975,158865,179,122,61,118
33845,80,39303,80,allow,424,210,214,7,27,4,3
61442,443,19223,443,allow,3403,1891,1512,24,42,13,11
9446,443,50836,443,allow,8672,1863,6809,22,46,11,11
52194,443,38386,443,allow,12374,1090,11284,27,15,13,14
58306,443,59387,443,allow,864,436,428,13,29,7,6
42412,443,55628,443,allow,204,70,134,4,26,2,2
56710,53,52813,53,allow,177,94,83,2,30,1,1
61396,443,45721,443,allow,550484,8433,542051,541,246,99,442
61273,443,55960,443,allow,19675,8597,11078,137,480,68,69
50016,53,14072,53,allow,766,103,663,4,41,2,2
58307,443,36806,443,allow,934,506,428,14,29,8,6
55182,53,36739,53,allow,293,94,199,2,30,1,1
56911,53,31733,53,allow,177,94,83,2,30,1,1
41631,443,38429,443,allow,20180,2917,17263,35,124,14,21
38637,443,8499,443,allow,12339,2392,9947,36,287,15,21
45317,53,22055,53,allow,86,86,0,1,30,1,0
56704,53,2427,53,allow,318,94,224,2,30,1,1
49410,53,62890,53,allow,177,94,83,2,30,1,1
56504,53,45710,53,allow,102,102,0,1,30,1,0
50003,443,32664,443,allow,13812,3042,10770,29,16,15,14
40737,443,35009,443,allow,44004,3909,40095,80,135,38,42
38082,443,14308,443,allow,284,164,120,4,15,2,2
36036,443,36036,443,allow,261234,32183,229051,326,212,153,173
55476,53,58894,53,allow,232,110,122,2,30,1,1
49395,53,40831,53,allow,390,111,279,4,53,2,2
56172,53,35826,53,allow,253,87,166,4,30,2,2
56624,53,36589,53,allow,177,94,83,2,31,1,1
57470,20220,32069,20220,allow,870,330,540,12,2308,6,6
33856,443,15413,443,allow,8171028,105740,8065288,6637,149,745,5892
59983,443,26904,443,allow,296863,14073,282790,351,127,130,221
15503,63425,41497,63425,allow,481,150,331,2,1200,1,1
53987,16571,20059,16571,allow,70,70,0,1,5,1,0
53986,54070,39036,54070,allow,70,70,0,1,5,1,0
64094,1024,62040,1024,allow,70,70,0,1,5,1,0
64095,1976,59706,1976,allow,70,70,0,1,5,1,0
52126,443,21159,443,allow,1672,1149,523,13,37,8,5
52144,80,16896,80,allow,366,240,126,7,33,5,2
50816,443,50681,443,allow,134,60,74,3,6,2,1
50057,80,26007,80,allow,1570,754,816,10,16,6,4
52146,80,44068,80,allow,366,240,126,7,33,5,2
54139,53,64934,53,allow,168,78,90,2,31,1,1
49410,53,29049,53,allow,177,94,83,2,31,1,1
53994,16605,15809,16605,allow,70,70,0,2,8,2,0
35242,8635,35242,8635,allow,138,78,60,2,6,1,1
52148,80,27900,80,allow,366,240,126,7,33,5,2
49900,443,28761,443,allow,1820,1101,719,18,73,10,8
43931,53,36161,53,allow,168,78,90,2,31,1,1
51048,445,0,0,drop,70,70,0,1,0,1,0
51045,445,0,0,drop,70,70,0,1,0,1,0
13394,23,0,0,deny,60,60,0,1,0,1,0
61078,57470,0,0,deny,62,62,0,1,0,1,0
55725,445,0,0,drop,70,70,0,1,0,1,0
55723,445,0,0,drop,70,70,0,1,0,1,0
55724,445,0,0,drop,70,70,0,1,0,1,0
51125,445,0,0,drop,66,66,0,1,0,1,0
51123,445,0,0,drop,66,66,0,1,0,1,0
51122,445,0,0,drop,66,66,0,1,0,1,0
51121,445,0,0,drop,66,66,0,1,0,1,0
51126,445,0,0,drop,66,66,0,1,0,1,0
51124,445,0,0,drop,66,66,0,1,0,1,0
51120,445,0,0,drop,66,66,0,1,0,1,0
51119,445,0,0,drop,66,66,0,1,0,1,0
62776,62413,0,0,deny,146,146,0,1,0,1,0
